104	2017-08-25	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:07:49
105	2017-08-25	TTM-00000010					0.1				1	0.1	-0.9	0.5	2017-11-27 15:07:49
106	2017-08-28	TTM-00000002	2.06								1	2.06	2.02	0.02	2017-11-27 15:08:16
107	2017-08-29	TTM-00000008					0.02				1	0.02	-0.98	0.5	2017-11-27 15:08:34
108	2017-08-29	TTM-00000010					5.67				7	5.67	-1.33	3.5	2017-11-27 15:08:34
109	2017-08-30	TTM-00000001				1.4					5	1.4	1.37	0.01	2017-11-27 15:08:59
110	2017-08-30	TTM-00000008					0.1				1	0.1	-0.9	0.5	2017-11-27 15:08:59
111	2017-08-30	TTM-00000010					15				2	15	13	1	2017-11-27 15:08:59
112	2017-08-31	TTM-00000010					5				1	5	4	0.5	2017-11-27 15:10:13
113	2017-09-04	TTM-00000001				0.1					1	0.1	0.1	0	2017-11-27 15:11:05
114	2017-09-04	TTM-00000002	2.06								2	2.06	2.02	0.02	2017-11-27 15:11:05
115	2017-09-04	TTM-00000010	1.2000000000000002								3	1.2	1.18	0.01	2017-11-27 15:11:05
116	2017-09-06	TTM-00000002			0.07						3	0.07	0.07	0	2017-11-27 15:11:15
117	2017-09-06	TTM-00000010					5				1	5	4	0.5	2017-11-27 15:11:15
118	2017-09-07	TTM-00000009					0.2				2	0.2	-1.8	1	2017-11-27 15:11:26
119	2017-09-11	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:11:41
120	2017-09-12	TTM-00000002	2.76				102.8				9	105.56	104.5	0.53	2017-11-27 15:11:46
121	2017-09-12	TTM-00000009					0.1				1	0.1	-0.9	0.5	2017-11-27 15:11:46
122	2017-09-13	TTM-00000001	0.1								1	0.1	0.1	0	2017-11-27 15:11:55
123	2017-09-13	TTM-00000002	2.06		1.29						5	3.35	3.28	0.03	2017-11-27 15:11:55
124	2017-09-14	TTM-00000001	0.2								2	0.2	0.2	0	2017-11-27 15:13:15
125	2017-09-14	TTM-00000010	2								1	2	1.96	0.02	2017-11-27 15:13:15
126	2017-09-14	TTM-00000011			2						2	2	1.96	0.01	2017-11-27 15:13:15
127	2017-09-15	TTM-00000001					0.2				2	0.2	-1.8	1	2017-11-27 15:13:21
128	2017-09-15	TTM-00000002	2.06								2	2.06	2.02	0.02	2017-11-27 15:13:22
129	2017-09-15	TTM-00000009					0.8				7	0.8	-6.2	3.5	2017-11-27 15:13:22
130	2017-09-18	TTM-00000009					0.6				6	0.6	-5.4	3	2017-11-27 15:13:30
131	2017-09-19	TTM-00000009					0.6				6	0.6	-5.4	3	2017-11-27 15:13:35
132	2017-09-20	TTM-00000003	1								1	1	0.98	0.01	2017-11-27 15:13:44
133	2017-09-20	TTM-00000010	2								1	2	1.96	0.02	2017-11-27 15:13:44
134	2017-09-21	TTM-00000003	34								5	34	33.32	0.34	2017-11-27 15:13:52
135	2017-09-22	TTM-00000010	1.5								2	1.5	1.47	0.02	2017-11-27 15:14:03
136	2017-09-24	TTM-00000010	10								1	10	9.8	0.1	2017-11-27 15:14:23
